Train_No,Total_Distance,Number_of_Stops,Start_Departure_Minute,End_Arrival_Minute,Journey_Duration_Minutes
107,78,4,625.0,730.0,105.0
108,83,4,1230.0,1345.0,115.0
128,978,22,1180.0,1065.0,1325.0
290,2694,14,1110.0,150.0,9120.0
401,1618,12,1290.0,600.0,2190.0
421,1276,5,1380.0,480.0,1980.0
422,1277,5,705.0,870.0,1605.0
477,2616,14,730.0,920.0,3070.0
502,1206,9,630.0,570.0,1380.0
504,1313,3,540.0,600.0,1500.0
506,1161,3,855.0,945.0,1530.0
557,1301,2,1410.0,660.0,690.0
604,1429,3,750.0,960.0,1650.0
1011,841,18,20.0,860.0,840.0
1037,513,10,70.0,630.0,560.0
1038,503,10,845.0,20.0,615.0
1045,563,11,70.0,660.0,590.0
1119,1329,24,1190.0,1230.0,1480.0
1120,1319,24,1290.0,1320.0,1470.0
1122,569,14,1350.0,630.0,720.0
1196,1332,26,1190.0,1290.0,1540.0
1301,976,17,1130.0,750.0,1060.0
1302,973,17,945.0,790.0,1285.0
1442,1581,13,675.0,135.0,2340.0
1655,1050,13,645.0,375.0,1170.0
1656,1050,13,1170.0,845.0,1115.0
1705,1261,14,15.0,1300.0,1285.0
1706,1262,14,860.0,675.0,1255.0
1707,1360,17,555.0,705.0,1590.0
1708,1362,17,885.0,1040.0,1595.0
2025,579,7,300.0,800.0,500.0
2026,569,7,870.0,1380.0,510.0
2191,1123,16,1210.0,960.0,1190.0
2192,1123,16,1240.0,950.0,1150.0
2195,551,10,800.0,1380.0,580.0
2196,549,10,1425.0,585.0,600.0
2515,3939,58,5.0,300.0,4615.0
2651,62,3,465.0,550.0,85.0
2652,62,3,1005.0,1090.0,85.0
2731,1854,29,985.0,385.0,2280.0
2732,1853,29,875.0,120.0,2125.0
2821,2066,14,630.0,1095.0,1905.0
2822,2073,14,1110.0,165.0,1935.0
2833,2332,29,1340.0,995.0,2535.0
2834,2351,29,1265.0,825.0,2440.0
2841,1656,12,760.0,920.0,1600.0
2842,1656,12,1100.0,1410.0,1750.0
2845,1770,17,645.0,1100.0,1895.0
2846,1791,17,1260.0,165.0,1785.0
3101,523,9,1435.0,710.0,715.0
3102,522,9,1365.0,625.0,700.0
3301,58,13,610.0,695.0,85.0
3302,58,13,705.0,790.0,85.0
3305,3,2,690.0,710.0,20.0
3306,3,2,725.0,745.0,20.0
3307,4,4,880.0,915.0,35.0
3308,4,4,795.0,825.0,30.0
3501,1193,5,1110.0,850.0,1180.0
3502,1193,5,1190.0,1050.0,1300.0
4401,710,13,1340.0,780.0,880.0
4402,710,13,1430.0,845.0,855.0
4409,653,7,1270.0,690.0,860.0
4410,653,7,810.0,195.0,825.0
4419,1916,13,640.0,1015.0,1815.0
4420,1924,13,935.0,1180.0,1685.0
4735,691,17,1185.0,625.0,880.0
4736,691,17,1190.0,565.0,815.0
4767,67,10,865.0,965.0,100.0
4768,67,10,670.0,780.0,110.0
4769,67,10,1065.0,1170.0,105.0
4770,67,10,930.0,1025.0,95.0
4771,232,24,155.0,525.0,370.0
4772,232,24,1125.0,60.0,375.0
4773,125,16,1175.0,1360.0,185.0
4774,125,10,80.0,235.0,155.0
4801,21,3,390.0,450.0,60.0
4802,21,3,1160.0,1220.0,60.0
4831,882,22,810.0,645.0,1275.0
4832,881,22,1005.0,705.0,1140.0
4851,197,21,410.0,690.0,280.0
4852,197,21,1015.0,1320.0,305.0
4853,42,6,715.0,790.0,75.0
4854,42,6,945.0,1005.0,60.0
4921,81,13,285.0,390.0,105.0
4922,81,13,1245.0,1360.0,115.0
4991,99,14,880.0,1030.0,150.0
4992,99,14,590.0,730.0,140.0
5061,112,5,405.0,590.0,185.0
5062,112,5,1040.0,1205.0,165.0
5065,503,15,1170.0,495.0,765.0
5066,505,15,1225.0,505.0,720.0
5105,64,4,705.0,815.0,110.0
5106,64,4,850.0,940.0,90.0
5305,136,11,895.0,1105.0,210.0
5306,136,11,695.0,870.0,175.0
5309,81,6,1255.0,1365.0,110.0
5310,81,6,1050.0,1165.0,115.0
5521,81,12,1240.0,25.0,225.0
5522,81,12,310.0,480.0,170.0
5613,85,11,360.0,485.0,125.0
5614,85,9,1150.0,1285.0,135.0
5619,153,20,800.0,1050.0,250.0
5620,153,20,525.0,770.0,245.0
5631,380,10,1050.0,355.0,745.0
5632,379,10,1160.0,465.0,745.0
5715,87,2,180.0,310.0,130.0
5716,87,2,240.0,390.0,150.0
5719,204,11,1395.0,195.0,240.0
5720,205,11,1080.0,1380.0,300.0
5863,89,15,1100.0,1285.0,185.0
5864,88,15,300.0,465.0,165.0
5865,426,53,495.0,1220.0,725.0
5866,425,53,360.0,1065.0,705.0
6001,649,14,1310.0,630.0,760.0
6002,649,15,900.0,210.0,750.0
6006,699,14,1165.0,630.0,905.0
6009,1844,27,850.0,1215.0,1805.0
6010,1843,27,1155.0,270.0,1995.0
6041,849,19,1100.0,660.0,1000.0
6042,851,20,975.0,510.0,975.0
6043,849,18,1350.0,870.0,960.0
6044,852,19,915.0,440.0,965.0
6046,852,19,885.0,525.0,1080.0
6047,849,19,1100.0,630.0,970.0
6048,852,20,810.0,390.0,1020.0
6049,855,19,885.0,350.0,905.0
6050,857,20,780.0,330.0,990.0
6053,626,14,1115.0,310.0,635.0
6054,627,14,940.0,300.0,800.0
6057,1656,19,1430.0,330.0,1780.0
6058,1655,19,915.0,1140.0,1665.0
6065,500,13,1040.0,405.0,805.0
6066,501,13,955.0,150.0,635.0
6067,522,9,1185.0,340.0,595.0
6068,522,9,1050.0,325.0,715.0
6081,45,4,815.0,885.0,70.0
6082,45,4,905.0,975.0,70.0
6412,2462,21,670.0,980.0,3190.0
6512,77,14,480.0,620.0,140.0
6513,17,6,430.0,465.0,35.0
6541,881,14,1080.0,695.0,1055.0
6542,878,14,815.0,380.0,1005.0
6547,632,14,1365.0,630.0,705.0
6548,634,13,885.0,270.0,825.0
6579,1089,21,1115.0,875.0,1200.0
6580,1086,21,825.0,545.0,1160.0
6581,607,85,1215.0,571.0,796.0
6582,604,85,1150.0,506.0,796.0
6591,62,9,390.0,480.0,90.0
6592,61,9,495.0,590.0,95.0
6593,10,4,1095.0,1120.0,25.0
6594,10,4,505.0,530.0,25.0
6595,33,7,635.0,685.0,50.0
6596,33,7,795.0,865.0,70.0
6647,89,8,330.0,460.0,130.0
6648,89,8,960.0,1110.0,150.0
6769,116,11,290.0,450.0,160.0
6770,116,11,1165.0,1350.0,185.0
6851,10,3,360.0,380.0,20.0
6852,10,3,1265.0,1290.0,25.0
6853,10,3,885.0,908.0,23.0
6854,10,3,850.0,875.0,25.0
6919,247,38,385.0,801.0,416.0
6920,248,38,810.0,1221.0,411.0
7005,2276,34,1290.0,1050.0,2640.0
7006,2297,34,90.0,1395.0,2745.0
7007,2023,27,1320.0,825.0,2385.0
7008,2033,28,300.0,1330.0,2470.0
7016,670,18,1125.0,470.0,785.0
7044,735,11,1005.0,470.0,905.0
7061,217,8,540.0,810.0,270.0
7062,437,14,900.0,210.0,750.0
7075,554,17,1160.0,330.0,610.0
7076,553,17,1090.0,360.0,710.0
7109,1589,40,955.0,1390.0,1875.0
7110,1593,40,135.0,630.0,1935.0
7113,1543,37,960.0,1390.0,1870.0
7133,1508,39,930.0,1390.0,1900.0
7134,1511,39,135.0,630.0,1935.0
7141,1560,39,975.0,1390.0,1855.0
7142,1563,39,135.0,510.0,1815.0
7146,763,16,1020.0,390.0,810.0
7149,2563,37,450.0,525.0,2955.0
7211,1433,36,1430.0,390.0,1840.0
7212,1436,36,570.0,810.0,1680.0
7213,1221,29,240.0,390.0,1590.0
7214,1226,30,570.0,575.0,1445.0
7217,1360,37,1430.0,390.0,1840.0
7218,1363,37,570.0,825.0,1695.0
7410,1147,29,555.0,570.0,1455.0
7417,1330,33,450.0,715.0,1705.0
7418,1331,33,1320.0,240.0,1800.0
7425,537,15,1125.0,360.0,675.0
7426,537,15,1070.0,310.0,680.0
7429,742,11,1110.0,420.0,750.0
7430,744,11,855.0,240.0,825.0
7431,597,13,1210.0,430.0,660.0
7432,597,14,1020.0,240.0,660.0
7435,555,14,1080.0,360.0,720.0
7436,554,15,1155.0,440.0,725.0
7438,1533,28,780.0,1185.0,1845.0
7439,1533,28,1370.0,300.0,1810.0
7487,735,11,1350.0,645.0,735.0
7505,1973,49,660.0,225.0,2445.0
7509,1886,47,805.0,225.0,2300.0
7517,350,9,1350.0,465.0,555.0
7525,322,33,720.0,1275.0,555.0
7526,322,33,300.0,900.0,600.0
7603,624,14,1080.0,360.0,720.0
7604,624,14,925.0,415.0,930.0
7607,1014,19,1125.0,840.0,1155.0
7608,1016,19,945.0,690.0,1185.0
7613,1636,38,730.0,1390.0,2100.0
7614,1641,39,135.0,795.0,2100.0
7644,597,11,1210.0,465.0,695.0
7645,587,10,1380.0,495.0,555.0
7757,314,6,330.0,645.0,315.0
7758,314,6,1050.0,1370.0,320.0
7941,587,12,1140.0,360.0,660.0
7942,597,13,1140.0,330.0,630.0
8001,39,2,610.0,645.0,35.0
8002,39,2,1105.0,1150.0,45.0
8014,12,4,505.0,545.0,40.0
8017,39,6,310.0,360.0,50.0
8018,39,6,1300.0,1355.0,55.0
8035,120,19,735.0,910.0,175.0
8036,120,19,920.0,1100.0,180.0
8051,39,3,365.0,394.0,29.0
8052,39,5,1115.0,1160.0,45.0
8061,1847,24,1220.0,395.0,2055.0
8062,1838,24,765.0,1400.0,2075.0
8063,115,17,1140.0,1320.0,180.0
8064,2039,16,60.0,550.0,1930.0
8065,115,17,910.0,1070.0,160.0
8082,30,6,1340.0,1370.0,30.0
8087,30,6,415.0,443.0,28.0
8101,40,5,1275.0,1355.0,80.0
8102,40,5,1200.0,1255.0,55.0
8301,1567,15,570.0,1000.0,1870.0
8302,1567,15,30.0,395.0,1805.0
8403,495,9,1285.0,405.0,560.0
8404,497,9,1150.0,240.0,530.0
8501,700,13,1380.0,720.0,780.0
8502,698,13,990.0,290.0,740.0
8511,471,12,900.0,180.0,720.0
8512,471,12,1335.0,600.0,705.0
8567,1571,29,1380.0,225.0,1725.0
8568,1578,29,345.0,750.0,1845.0
8573,760,15,1375.0,805.0,870.0
8574,759,15,930.0,410.0,920.0
8581,11,2,1410.0,1430.0,20.0
8582,11,2,285.0,300.0,15.0
8617,1365,15,845.0,835.0,1430.0
8618,1356,15,1370.0,1350.0,1420.0
8627,484,13,770.0,1330.0,560.0
8628,481,14,345.0,915.0,570.0
8872,133,17,1290.0,15.0,165.0
9003,1355,5,965.0,360.0,835.0
9004,1358,5,975.0,370.0,835.0
9005,1373,4,960.0,475.0,955.0
9006,1376,4,890.0,415.0,965.0
9011,1209,20,675.0,565.0,1330.0
9012,1211,20,890.0,765.0,1315.0
9433,780,14,25.0,830.0,805.0
9434,780,14,995.0,375.0,820.0
9621,1281,12,390.0,285.0,1335.0
9622,1281,12,375.0,205.0,1270.0
9721,429,12,375.0,810.0,435.0
9722,429,12,905.0,1325.0,420.0
9761,125,13,260.0,425.0,165.0
9809,447,11,1270.0,260.0,430.0
9810,450,11,315.0,795.0,480.0
10103,590,20,430.0,1125.0,695.0
10104,594,20,555.0,1300.0,745.0
10111,590,20,1385.0,645.0,700.0
10112,594,20,1080.0,350.0,710.0
10215,726,13,1290.0,655.0,805.0
10216,727,13,830.0,195.0,805.0
11001,348,12,300.0,735.0,435.0
11002,348,12,780.0,1225.0,445.0
11003,502,21,5.0,640.0,635.0
11004,504,21,1130.0,405.0,715.0
11005,1636,39,1290.0,435.0,2025.0
11006,1639,38,1250.0,340.0,1970.0
11007,191,12,420.0,665.0,245.0
11008,191,11,915.0,1157.0,242.0
11009,191,12,870.0,1120.0,250.0
11010,191,11,365.0,595.0,230.0
11011,723,16,725.0,285.0,1000.0
11012,723,16,390.0,1425.0,1035.0
11013,1515,34,1355.0,435.0,1960.0
11014,1515,34,535.0,870.0,1775.0
11015,1678,47,1365.0,425.0,1940.0
11016,1677,46,1140.0,260.0,2000.0
11017,1631,30,725.0,1115.0,1830.0
11018,1634,30,840.0,1425.0,2025.0
11019,1941,39,910.0,255.0,2225.0
11020,1941,40,925.0,235.0,2190.0
11021,1843,40,1290.0,705.0,2295.0
11022,1845,39,900.0,340.0,2320.0
11023,517,28,1070.0,365.0,735.0
11024,517,31,1370.0,710.0,780.0
11025,545,19,25.0,725.0,700.0
11026,545,19,705.0,1310.0,605.0
11027,1281,52,1425.0,210.0,1665.0
11028,1283,52,1435.0,225.0,1670.0
11029,517,35,520.0,1225.0,705.0
11030,517,34,475.0,1205.0,730.0
11031,108,5,610.0,740.0,130.0
11032,108,5,890.0,1060.0,170.0
11033,1955,30,975.0,405.0,2310.0
11034,1953,30,1005.0,485.0,2360.0
11035,1210,27,1290.0,1300.0,1450.0
11036,1213,26,375.0,340.0,1405.0
11037,1777,17,975.0,65.0,1970.0
11038,1777,17,930.0,245.0,2195.0
11039,1352,62,930.0,1215.0,1725.0
11040,1353,60,500.0,765.0,1705.0
11041,1281,36,840.0,990.0,1590.0
11042,1283,34,740.0,815.0,1515.0
11043,1696,27,15.0,610.0,2035.0
11044,1700,26,1080.0,345.0,2145.0
11045,2894,39,1425.0,720.0,3615.0
11046,2892,39,830.0,215.0,3705.0
11047,278,12,10.0,385.0,375.0
11048,279,12,1410.0,315.0,345.0
11049,949,18,1165.0,925.0,1200.0
11050,949,18,770.0,465.0,1135.0
11051,314,9,1415.0,380.0,405.0
11052,314,9,1435.0,450.0,455.0
11053,1552,17,1000.0,130.0,2010.0
11054,1551,17,320.0,735.0,1855.0
11055,1732,23,655.0,1220.0,2005.0
11056,1732,23,380.0,975.0,2035.0
11057,2026,90,1410.0,990.0,2460.0
11058,2029,91,510.0,245.0,2615.0
11059,1772,24,655.0,1265.0,2050.0
11060,1770,24,315.0,975.0,2100.0
11061,1885,41,735.0,70.0,2215.0
11062,1883,39,785.0,220.0,2315.0
11063,352,14,1380.0,320.0,380.0
11064,352,14,1280.0,225.0,385.0
11067,1510,20,323.0,535.0,1652.0
11068,1509,20,935.0,1290.0,1795.0
11071,1645,43,760.0,1165.0,1845.0
11072,1647,41,950.0,1370.0,1860.0
11073,1265,18,800.0,775.0,1415.0
11074,1267,17,915.0,960.0,1485.0
11075,651,13,725.0,90.0,805.0
11076,651,13,500.0,1435.0,935.0
11077,2155,67,1040.0,605.0,2445.0
11078,2157,65,1305.0,910.0,2485.0
11079,1745,25,950.0,90.0,2020.0
11080,1745,24,330.0,960.0,2070.0
11081,1731,20,950.0,125.0,2055.0
